municipio;year;Todas las edades
        24030 Berlanga del Bierzo;2011;400
        24031 Berlanga del Bierzo;2010;389
        24032 Berlanga del Bierzo;2009;393
        24033 Berlanga del Bierzo;2008;403
        24034 Berlanga del Bierzo;2007;420
        24035 Berlanga del Bierzo;2006;410
        24036 Berlanga del Bierzo;2005;409
        24037 Berlanga del Bierzo;2004;409
        24038 Berlanga del Bierzo;2003;406
        24020 Boca de Huérgano;2022;438
        24021 Boca de Huérgano;2021;444
        24022 Boca de Huérgano;2020;455
        24023 Boca de Huérgano;2019;464
        24024 Boca de Huérgano;2018;475
        24025 Boca de Huérgano;2017;470
        24026 Boca de Huérgano;2016;485
        24027 Boca de Huérgano;2015;487
        24028 Boca de Huérgano;2014;503
        24029 Boca de Huérgano;2013;515
        24030 Boca de Huérgano;2012;519
        24031 Boca de Huérgano;2011;523
        24032 Boca de Huérgano;2010;531
        24033 Boca de Huérgano;2009;540
        24034 Boca de Huérgano;2008;577
        24035 Boca de Huérgano;2007;604
        24036 Boca de Huérgano;2006;575
        24037 Boca de Huérgano;2005;566
        24038 Boca de Huérgano;2004;571
        24039 Boca de Huérgano;2003;579
        24021 Boñar;2022;1823
        24022 Boñar;2021;1819
        24023 Boñar;2020;1816
        24024 Boñar;2019;1832
        24025 Boñar;2018;1850
        24026 Boñar;2017;1865
        24027 Boñar;2016;1918
        24028 Boñar;2015;1947
        24029 Boñar;2014;1997
        24030 Boñar;2013;2031
        24031 Boñar;2012;2048
        24032 Boñar;2011;2074
        24033 Boñar;2010;2085
        24034 Boñar;2009;2085
        24035 Boñar;2008;2132
        24036 Boñar;2007;2182
        24037 Boñar;2006;2236
        24038 Boñar;2005;2319
        24039 Boñar;2004;2351
        24040 Boñar;2003;2415
        24022 Borrenes;2022;306
        24023 Borrenes;2021;306
        24024 Borrenes;2020;309
        24025 Borrenes;2019;315
        24026 Borrenes;2018;319
        24027 Borrenes;2017;332
        24028 Borrenes;2016;345
        24029 Borrenes;2015;368
        24030 Borrenes;2014;368
        24031 Borrenes;2013;368
        24032 Borrenes;2012;385
        24033 Borrenes;2011;410
        24034 Borrenes;2010;402
        24035 Borrenes;2009;412
        24036 Borrenes;2008;436
        24037 Borrenes;2007;436
        24038 Borrenes;2006;446
        24039 Borrenes;2005;459
        24040 Borrenes;2004;465
        24041 Borrenes;2003;484
        24023 Brazuelo;2022;340
        24024 Brazuelo;2021;306
        24025 Brazuelo;2020;337
        24026 Brazuelo;2019;295
        24027 Brazuelo;2018;287
        24028 Brazuelo;2017;288
        24029 Brazuelo;2016;300
