municipio;year;Todas las edades
        24094 Laguna de Negrillos;2016;1089
        24095 Laguna de Negrillos;2015;1098
        24096 Laguna de Negrillos;2014;1137
        24097 Laguna de Negrillos;2013;1149
        24098 Laguna de Negrillos;2012;1123
        24099 Laguna de Negrillos;2011;1158
        24100 Laguna de Negrillos;2010;1164
        24101 Laguna de Negrillos;2009;1197
        24102 Laguna de Negrillos;2008;1222
        24103 Laguna de Negrillos;2007;1254
        24104 Laguna de Negrillos;2006;1307
        24105 Laguna de Negrillos;2005;1335
        24106 Laguna de Negrillos;2004;1379
        24107 Laguna de Negrillos;2003;1427
        24089 León;2022;120951
        24090 León;2021;122051
        24091 León;2020;124028
        24092 León;2019;124303
        24093 León;2018;124772
        24094 León;2017;125317
        24095 León;2016;126192
        24096 León;2015;127817
        24097 León;2014;129551
        24098 León;2013;130601
        24099 León;2012;131680
        24100 León;2011;132744
        24101 León;2010;134012
        24102 León;2009;134305
        24103 León;2008;135119
        24104 León;2007;135059
        24105 León;2006;136985
        24106 León;2005;136414
        24107 León;2004;135789
        24108 León;2003;135634
        24092 Llamas de la Ribera;2022;810
        24093 Llamas de la Ribera;2021;807
        24094 Llamas de la Ribera;2020;800
        24095 Llamas de la Ribera;2019;825
        24096 Llamas de la Ribera;2018;831
        24097 Llamas de la Ribera;2017;849
        24098 Llamas de la Ribera;2016;869
        24099 Llamas de la Ribera;2015;885
        24100 Llamas de la Ribera;2014;916
        24101 Llamas de la Ribera;2013;938
        24102 Llamas de la Ribera;2012;963
        24103 Llamas de la Ribera;2011;942
        24104 Llamas de la Ribera;2010;970
        24105 Llamas de la Ribera;2009;992
        24106 Llamas de la Ribera;2008;1027
        24107 Llamas de la Ribera;2007;1053
        24108 Llamas de la Ribera;2006;1065
        24109 Llamas de la Ribera;2005;1088
        24110 Llamas de la Ribera;2004;1111
        24111 Llamas de la Ribera;2003;1143
        24090 Lucillo;2022;376
        24091 Lucillo;2021;377
        24092 Lucillo;2020;367
        24093 Lucillo;2019;376
        24094 Lucillo;2018;383
        24095 Lucillo;2017;391
        24096 Lucillo;2016;399
        24097 Lucillo;2015;413
        24098 Lucillo;2014;408
        24099 Lucillo;2013;408
        24100 Lucillo;2012;414
        24101 Lucillo;2011;416
        24102 Lucillo;2010;406
        24103 Lucillo;2009;432
        24104 Lucillo;2008;451
        24105 Lucillo;2007;450
        24106 Lucillo;2006;454
        24107 Lucillo;2005;474
        24108 Lucillo;2004;477
        24109 Lucillo;2003;484
        24091 Luyego;2022;562
        24092 Luyego;2021;564
        24093 Luyego;2020;590
        24094 Luyego;2019;628
        24095 Luyego;2018;645
        24096 Luyego;2017;678
        24097 Luyego;2016;692
        24098 Luyego;2015;717
        24099 Luyego;2014;740
        24100 Luyego;2013;748
        24101 Luyego;2012;747
        24102 Luyego;2011;778
        24103 Luyego;2010;780
        24104 Luyego;2009;789
        24105 Luyego;2008;803
        24106 Luyego;2007;810
        24107 Luyego;2006;828
        24108 Luyego;2005;848
        24109 Luyego;2004;887
        24110 Luyego;2003;912
        24093 Magaz de Cepeda;2022;357
        24094 Magaz de Cepeda;2021;358
        24095 Magaz de Cepeda;2020;367
        24096 Magaz de Cepeda;2019;359
        24097 Magaz de Cepeda;2018;362
        24098 Magaz de Cepeda;2017;369
        24099 Magaz de Cepeda;2016;370
        24100 Magaz de Cepeda;2015;396
        24101 Magaz de Cepeda;2014;384
        24102 Magaz de Cepeda;2013;386
        24103 Magaz de Cepeda;2012;397
        24104 Magaz de Cepeda;2011;405
        24105 Magaz de Cepeda;2010;412
        24106 Magaz de Cepeda;2009;420
        24107 Magaz de Cepeda;2008;427
        24108 Magaz de Cepeda;2007;446
        24109 Magaz de Cepeda;2006;449
        24110 Magaz de Cepeda;2005;457
        24111 Magaz de Cepeda;2004;467
        24112 Magaz de Cepeda;2003;491
        24094 Mansilla de las Mulas;2022;1679
        24095 Mansilla de las Mulas;2021;1708
        24096 Mansilla de las Mulas;2020;1743
        24097 Mansilla de las Mulas;2019;1733
        24098 Mansilla de las Mulas;2018;1743
        24099 Mansilla de las Mulas;2017;1768
        24100 Mansilla de las Mulas;2016;1798
        24101 Mansilla de las Mulas;2015;1805
        24102 Mansilla de las Mulas;2014;1859
        24103 Mansilla de las Mulas;2013;1908
        24104 Mansilla de las Mulas;2012;1922
        24105 Mansilla de las Mulas;2011;1950
        24106 Mansilla de las Mulas;2010;1913
        24107 Mansilla de las Mulas;2009;1975
        24108 Mansilla de las Mulas;2008;1963
        24109 Mansilla de las Mulas;2007;1946
        24110 Mansilla de las Mulas;2006;1973
        24111 Mansilla de las Mulas;2005;1888
        24112 Mansilla de las Mulas;2004;1811
        24113 Mansilla de las Mulas;2003;1765
        24095 Mansilla Mayor;2022;327
        24096 Mansilla Mayor;2021;326
        24097 Mansilla Mayor;2020;337
        24098 Mansilla Mayor;2019;334
        24099 Mansilla Mayor;2018;333
        24100 Mansilla Mayor;2017;340
        24101 Mansilla Mayor;2016;341
        24102 Mansilla Mayor;2015;344
        24103 Mansilla Mayor;2014;338
        24104 Mansilla Mayor;2013;326
        24105 Mansilla Mayor;2012;325
        24106 Mansilla Mayor;2011;342
        24107 Mansilla Mayor;2010;351
        24108 Mansilla Mayor;2009;344
        24109 Mansilla Mayor;2008;348
        24110 Mansilla Mayor;2007;358
        24111 Mansilla Mayor;2006;377
        24112 Mansilla Mayor;2005;383
        24113 Mansilla Mayor;2004;393
        24114 Mansilla Mayor;2003;410
        24096 Maraña;2022;112
        24097 Maraña;2021;113
        24098 Maraña;2020;112
        24099 Maraña;2019;115
        24100 Maraña;2018;118
        24101 Maraña;2017;121
        24102 Maraña;2016;128
        24103 Maraña;2015;138
        24104 Maraña;2014;145
        24105 Maraña;2013;151
        24106 Maraña;2012;162
        24107 Maraña;2011;160
        24108 Maraña;2010;147
        24109 Maraña;2009;148
        24110 Maraña;2008;149
        24111 Maraña;2007;164
        24112 Maraña;2006;155
        24113 Maraña;2005;163
        24114 Maraña;2004;169
        24115 Maraña;2003;177
        24097 Matadeón de los Oteros;2022;230
        24098 Matadeón de los Oteros;2021;229
        24099 Matadeón de los Oteros;2020;223
        24100 Matadeón de los Oteros;2019;228
        24101 Matadeón de los Oteros;2018;232
        24102 Matadeón de los Oteros;2017;236
        24103 Matadeón de los Oteros;2016;241
        24104 Matadeón de los Oteros;2015;254
        24105 Matadeón de los Oteros;2014;261
        24106 Matadeón de los Oteros;2013;274
        24107 Matadeón de los Oteros;2012;277
        24108 Matadeón de los Oteros;2011;278
        24109 Matadeón de los Oteros;2010;285
        24110 Matadeón de los Oteros;2009;291
        24111 Matadeón de los Oteros;2008;287
        24112 Matadeón de los Oteros;2007;288
        24113 Matadeón de los Oteros;2006;285
        24114 Matadeón de los Oteros;2005;285
        24115 Matadeón de los Oteros;2004;283
        24116 Matadeón de los Oteros;2003;290
        24098 Matallana de Torío;2022;1269
        24099 Matallana de Torío;2021;1278
        24100 Matallana de Torío;2020;1270
        24101 Matallana de Torío;2019;1270
        24102 Matallana de Torío;2018;1306
        24103 Matallana de Torío;2017;1322
        24104 Matallana de Torío;2016;1342
        24105 Matallana de Torío;2015;1345
        24106 Matallana de Torío;2014;1372
        24107 Matallana de Torío;2013;1374
        24108 Matallana de Torío;2012;1403
        24109 Matallana de Torío;2011;1429
        24110 Matallana de Torío;2010;1435
        24111 Matallana de Torío;2009;1436
        24112 Matallana de Torío;2008;1440
        24113 Matallana de Torío;2007;1462
        24114 Matallana de Torío;2006;1475
        24115 Matallana de Torío;2005;1491
        24116 Matallana de Torío;2004;1538
        24117 Matallana de Torío;2003;1591
        24099 Matanza;2022;175
        24100 Matanza;2021;167
        24101 Matanza;2020;161
        24102 Matanza;2019;165
        24103 Matanza;2018;175
        24104 Matanza;2017;179
        24105 Matanza;2016;185
        24106 Matanza;2015;197
        24107 Matanza;2014;207
        24108 Matanza;2013;213
        24109 Matanza;2012;232
        24110 Matanza;2011;231
        24111 Matanza;2010;242
        24112 Matanza;2009;246
        24113 Matanza;2008;259
        24114 Matanza;2007;270
        24115 Matanza;2006;269
        24116 Matanza;2005;263
        24117 Matanza;2004;258
        24118 Matanza;2003;273
        24100 Molinaseca;2022;851
        24101 Molinaseca;2021;891
        24102 Molinaseca;2020;862
        24103 Molinaseca;2019;884
        24104 Molinaseca;2018;872
        24105 Molinaseca;2017;895
        24106 Molinaseca;2016;888
        24107 Molinaseca;2015;892
        24108 Molinaseca;2014;898
        24109 Molinaseca;2013;895
        24110 Molinaseca;2012;886
        24111 Molinaseca;2011;854
        24112 Molinaseca;2010;818
        24113 Molinaseca;2009;794
        24114 Molinaseca;2008;825
        24115 Molinaseca;2007;822
        24116 Molinaseca;2006;796
        24117 Molinaseca;2005;762
        24118 Molinaseca;2004;750
        24119 Molinaseca;2003;769
        24101 Murias de Paredes;2022;346
        24102 Murias de Paredes;2021;367
        24103 Murias de Paredes;2020;371
        24104 Murias de Paredes;2019;399
        24105 Murias de Paredes;2018;395
        24106 Murias de Paredes;2017;407
        24107 Murias de Paredes;2016;412
        24108 Murias de Paredes;2015;426
        24109 Murias de Paredes;2014;444
        24110 Murias de Paredes;2013;465
        24111 Murias de Paredes;2012;483
        24112 Murias de Paredes;2011;501
        24113 Murias de Paredes;2010;498
        24114 Murias de Paredes;2009;514
        24115 Murias de Paredes;2008;530
        24116 Murias de Paredes;2007;524
        24117 Murias de Paredes;2006;543
        24118 Murias de Paredes;2005;574
        24119 Murias de Paredes;2004;580
        24120 Murias de Paredes;2003;596
        24102 Noceda del Bierzo;2022;612
        24103 Noceda del Bierzo;2021;625
        24104 Noceda del Bierzo;2020;640
        24105 Noceda del Bierzo;2019;672
        24106 Noceda del Bierzo;2018;680
        24107 Noceda del Bierzo;2017;692
        24108 Noceda del Bierzo;2016;723
        24109 Noceda del Bierzo;2015;727
        24110 Noceda del Bierzo;2014;730
        24111 Noceda del Bierzo;2013;736
        24112 Noceda del Bierzo;2012;760
        24113 Noceda del Bierzo;2011;780
        24114 Noceda del Bierzo;2010;774
        24115 Noceda del Bierzo;2009;780
        24116 Noceda del Bierzo;2008;809
        24117 Noceda del Bierzo;2007;829
        24118 Noceda del Bierzo;2006;810
        24119 Noceda del Bierzo;2005;834
        24120 Noceda del Bierzo;2004;855
        24121 Noceda del Bierzo;2003;878
        24103 Oencia;2022;267
        24104 Oencia;2021;273
        24105 Oencia;2020;270
        24106 Oencia;2019;274
        24107 Oencia;2018;278
        24108 Oencia;2017;293
        24109 Oencia;2016;295
        24110 Oencia;2015;310
        24111 Oencia;2014;329
        24112 Oencia;2013;333
        24113 Oencia;2012;349
        24114 Oencia;2011;378
        24115 Oencia;2010;373
        24116 Oencia;2009;395
        24117 Oencia;2008;428
        24118 Oencia;2007;496
        24119 Oencia;2006;457
        24120 Oencia;2005;486
        24121 Oencia;2004;531
        24122 Oencia;2003;475
        24104 Omañas, Las;2022;248
        24105 Omañas, Las;2021;261
        24106 Omañas, Las;2020;267
        24107 Omañas, Las;2019;266
        24108 Omañas, Las;2018;271
        24109 Omañas, Las;2017;276
        24110 Omañas, Las;2016;288
        24111 Omañas, Las;2015;291
        24112 Omañas, Las;2014;302
        24113 Omañas, Las;2013;316
        24114 Omañas, Las;2012;315
        24115 Omañas, Las;2011;314
        24116 Omañas, Las;2010;314
        24117 Omañas, Las;2009;318
        24118 Omañas, Las;2008;326
        24119 Omañas, Las;2007;331
        24120 Omañas, Las;2006;345
        24121 Omañas, Las;2005;359
        24122 Omañas, Las;2004;382
        24123 Omañas, Las;2003;406
        24105 Onzonilla;2022;1845
        24106 Onzonilla;2021;1857
        24107 Onzonilla;2020;1832
        24108 Onzonilla;2019;1835
        24109 Onzonilla;2018;1835
        24110 Onzonilla;2017;1779
        24111 Onzonilla;2016;1790
        24112 Onzonilla;2015;1758
        24113 Onzonilla;2014;1798
        24114 Onzonilla;2013;1775
        24115 Onzonilla;2012;1764
        24116 Onzonilla;2011;1761
        24117 Onzonilla;2010;1749
        24118 Onzonilla;2009;1750
        24119 Onzonilla;2008;1685
        24120 Onzonilla;2007;1622
        24121 Onzonilla;2006;1578
        24122 Onzonilla;2005;1588
        24123 Onzonilla;2004;1555
        24124 Onzonilla;2003;1545
        24106 Oseja de Sajambre;2022;236
        24106 Oseja de Sajambre;2021;231
        24107 Oseja de Sajambre;2020;224
        24108 Oseja de Sajambre;2019;232
        24109 Oseja de Sajambre;2018;240
        24110 Oseja de Sajambre;2017;252
        24111 Oseja de Sajambre;2016;257
        24112 Oseja de Sajambre;2015;279
        24113 Oseja de Sajambre;2014;284
        24114 Oseja de Sajambre;2013;282
        24115 Oseja de Sajambre;2012;312
        24116 Oseja de Sajambre;2011;317
        24117 Oseja de Sajambre;2010;275
        24118 Oseja de Sajambre;2009;265
        24119 Oseja de Sajambre;2008;289
        24120 Oseja de Sajambre;2007;285
        24121 Oseja de Sajambre;2006;290
        24122 Oseja de Sajambre;2005;300
        24123 Oseja de Sajambre;2004;323
        24124 Oseja de Sajambre;2003;317
        24107 Pajares de los Oteros;2022;235
        24108 Pajares de los Oteros;2021;232
        24109 Pajares de los Oteros;2020;248
        24110 Pajares de los Oteros;2019;266
        24111 Pajares de los Oteros;2018;279
        24112 Pajares de los Oteros;2017;279
        24113 Pajares de los Oteros;2016;283
        24114 Pajares de los Oteros;2015;308
        24115 Pajares de los Oteros;2014;316
        24116 Pajares de los Oteros;2013;330
        24117 Pajares de los Oteros;2012;362
        24118 Pajares de los Oteros;2011;383
        24119 Pajares de los Oteros;2010;350
        24120 Pajares de los Oteros;2009;368
        24121 Pajares de los Oteros;2008;385
        24122 Pajares de los Oteros;2007;389
        24123 Pajares de los Oteros;2006;340
        24124 Pajares de los Oteros;2005;362
        24125 Pajares de los Oteros;2004;376
        24126 Pajares de los Oteros;2003;336
        24108 Palacios de la Valduerna;2022;366
        24109 Palacios de la Valduerna;2021;373
        24110 Palacios de la Valduerna;2020;383
        24111 Palacios de la Valduerna;2019;379
        24112 Palacios de la Valduerna;2018;382
        24113 Palacios de la Valduerna;2017;400
        24114 Palacios de la Valduerna;2016;407
        24115 Palacios de la Valduerna;2015;425
        24116 Palacios de la Valduerna;2014;437
        24117 Palacios de la Valduerna;2013;435
        24118 Palacios de la Valduerna;2012;448
        24119 Palacios de la Valduerna;2011;453
        24120 Palacios de la Valduerna;2010;452
        24121 Palacios de la Valduerna;2009;466
        24122 Palacios de la Valduerna;2008;471
        24123 Palacios de la Valduerna;2007;484
        24124 Palacios de la Valduerna;2006;494
        24125 Palacios de la Valduerna;2005;495
        24126 Palacios de la Valduerna;2004;497
        24127 Palacios de la Valduerna;2003;507
        24109 Palacios del Sil;2022;886
        24110 Palacios del Sil;2021;912
        24111 Palacios del Sil;2020;907
        24112 Palacios del Sil;2019;941
        24113 Palacios del Sil;2018;989
        24114 Palacios del Sil;2017;1030
        24115 Palacios del Sil;2016;1062
        24116 Palacios del Sil;2015;1090
        24117 Palacios del Sil;2014;1095
        24118 Palacios del Sil;2013;1139
        24119 Palacios del Sil;2012;1159
        24120 Palacios del Sil;2011;1202
        24121 Palacios del Sil;2010;1193
        24122 Palacios del Sil;2009;1225
        24123 Palacios del Sil;2008;1261
        24124 Palacios del Sil;2007;1275
        24125 Palacios del Sil;2006;1301
        24126 Palacios del Sil;2005;1339
        24127 Palacios del Sil;2004;1373
        24128 Palacios del Sil;2003;1413
        24110 Páramo del Sil;2022;1217
        24111 Páramo del Sil;2021;1244
        24112 Páramo del Sil;2020;1255
        24113 Páramo del Sil;2019;1259
        24114 Páramo del Sil;2018;1293
        24115 Páramo del Sil;2017;1336
        24116 Páramo del Sil;2016;1381
        24117 Páramo del Sil;2015;1403
        24118 Páramo del Sil;2014;1395
        24119 Páramo del Sil;2013;1414
        24120 Páramo del Sil;2012;1421
        24121 Páramo del Sil;2011;1464
        24122 Páramo del Sil;2010;1499
        24123 Páramo del Sil;2009;1527
        24124 Páramo del Sil;2008;1522
        24125 Páramo del Sil;2007;1550
        24126 Páramo del Sil;2006;1557
        24127 Páramo del Sil;2005;1534
        24128 Páramo del Sil;2004;1580
        24129 Páramo del Sil;2003;1638
        24112 Peranzanes;2022;264
        24113 Peranzanes;2021;269
        24114 Peranzanes;2020;279
        24115 Peranzanes;2019;300
        24116 Peranzanes;2018;317
        24117 Peranzanes;2017;321
        24118 Peranzanes;2016;320
        24119 Peranzanes;2015;327
        24120 Peranzanes;2014;320
        24121 Peranzanes;2013;324
        24122 Peranzanes;2012;332
        24123 Peranzanes;2011;345
        24124 Peranzanes;2010;316
        24125 Peranzanes;2009;305
        24126 Peranzanes;2008;310
        24127 Peranzanes;2007;319
        24128 Peranzanes;2006;314
        24129 Peranzanes;2005;316
        24130 Peranzanes;2004;329
        24131 Peranzanes;2003;327
        24113 Pobladura de Pelayo García;2022;372
        24114 Pobladura de Pelayo García;2021;388
        24115 Pobladura de Pelayo García;2020;379
        24116 Pobladura de Pelayo García;2019;373
        24117 Pobladura de Pelayo García;2018;382
        24118 Pobladura de Pelayo García;2017;379
        24119 Pobladura de Pelayo García;2016;385
        24120 Pobladura de Pelayo García;2015;396
        24121 Pobladura de Pelayo García;2014;401
        24122 Pobladura de Pelayo García;2013;422
        24123 Pobladura de Pelayo García;2012;426
        24124 Pobladura de Pelayo García;2011;436
        24125 Pobladura de Pelayo García;2010;457
        24126 Pobladura de Pelayo García;2009;472
        24127 Pobladura de Pelayo García;2008;479
        24128 Pobladura de Pelayo García;2007;502
        24129 Pobladura de Pelayo García;2006;509
        24130 Pobladura de Pelayo García;2005;521
        24131 Pobladura de Pelayo García;2004;530
        24132 Pobladura de Pelayo García;2003;524
        24114 Pola de Gordón, La;2022;2929
        24115 Pola de Gordón, La;2021;3060
        24116 Pola de Gordón, La;2020;3120
        24117 Pola de Gordón, La;2019;3224
        24118 Pola de Gordón, La;2018;3325
        24119 Pola de Gordón, La;2017;3379
        24120 Pola de Gordón, La;2016;3488
        24121 Pola de Gordón, La;2015;3522
        24122 Pola de Gordón, La;2014;3653
        24123 Pola de Gordón, La;2013;3823
        24124 Pola de Gordón, La;2012;3905
        24125 Pola de Gordón, La;2011;3989
        24126 Pola de Gordón, La;2010;3969
        24127 Pola de Gordón, La;2009;4077
        24128 Pola de Gordón, La;2008;4142
        24129 Pola de Gordón, La;2007;4170
        24130 Pola de Gordón, La;2006;4220
        24131 Pola de Gordón, La;2005;4333
        24132 Pola de Gordón, La;2004;4422
        24133 Pola de Gordón, La;2003;4656
        24115 Ponferrada;2022;63052
        24116 Ponferrada;2021;63747
        24117 Ponferrada;2020;64509
        24118 Ponferrada;2019;64674
        24119 Ponferrada;2018;65239
        24120 Ponferrada;2017;65788
        24121 Ponferrada;2016;66447
        24122 Ponferrada;2015;66884
        24123 Ponferrada;2014;67367
        24124 Ponferrada;2013;68121
        24125 Ponferrada;2012;68549
        24126 Ponferrada;2011;68508
        24127 Ponferrada;2010;68767
        24128 Ponferrada;2009;68736
        24129 Ponferrada;2008;67969
        24130 Ponferrada;2007;66824
        24131 Ponferrada;2006;66656
        24132 Ponferrada;2005;65984
        24133 Ponferrada;2004;65111
        24134 Ponferrada;2003;64990
        24116 Posada de Valdeón;2022;420
        24116 Posada de Valdeón;2021;424
        24116 Posada de Valdeón;2020;415
        24116 Posada de Valdeón;2019;415
        24116 Posada de Valdeón;2018;433
        24116 Posada de Valdeón;2017;452
        24116 Posada de Valdeón;2016;457
        24116 Posada de Valdeón;2015;477
        24116 Posada de Valdeón;2014;464
        24116 Posada de Valdeón;2013;481
        24116 Posada de Valdeón;2012;485
        24116 Posada de Valdeón;2011;491
        24116 Posada de Valdeón;2010;487
        24116 Posada de Valdeón;2009;514
        24116 Posada de Valdeón;2008;524
        24116 Posada de Valdeón;2007;543
        24116 Posada de Valdeón;2006;526
        24116 Posada de Valdeón;2005;536
        24116 Posada de Valdeón;2004;507
        24116 Posada de Valdeón;2003;515
        24117 Pozuelo del Páramo;2022;408
        24118 Pozuelo del Páramo;2021;404
        24119 Pozuelo del Páramo;2020;423
        24120 Pozuelo del Páramo;2019;431
        24121 Pozuelo del Páramo;2018;439
        24122 Pozuelo del Páramo;2017;455
        24123 Pozuelo del Páramo;2016;465
        24124 Pozuelo del Páramo;2015;478
        24125 Pozuelo del Páramo;2014;493
        24126 Pozuelo del Páramo;2013;510
        24127 Pozuelo del Páramo;2012;519
        24128 Pozuelo del Páramo;2011;516
        24129 Pozuelo del Páramo;2010;519
        24130 Pozuelo del Páramo;2009;505
        24131 Pozuelo del Páramo;2008;535
        24132 Pozuelo del Páramo;2007;538
        24133 Pozuelo del Páramo;2006;556
        24134 Pozuelo del Páramo;2005;540
        24135 Pozuelo del Páramo;2004;559
        24136 Pozuelo del Páramo;2003;585
        24118 Prado de la Guzpeña;2022;103
        24119 Prado de la Guzpeña;2021;99
        24120 Prado de la Guzpeña;2020;104
        24121 Prado de la Guzpeña;2019;107
        24122 Prado de la Guzpeña;2018;122
        24123 Prado de la Guzpeña;2017;123
        24124 Prado de la Guzpeña;2016;135
        24125 Prado de la Guzpeña;2015;140
        24126 Prado de la Guzpeña;2014;143
        24127 Prado de la Guzpeña;2013;136
        24128 Prado de la Guzpeña;2012;138
        24129 Prado de la Guzpeña;2011;141
        24130 Prado de la Guzpeña;2010;131
        24131 Prado de la Guzpeña;2009;138
        24132 Prado de la Guzpeña;2008;140
        24133 Prado de la Guzpeña;2007;140
        24134 Prado de la Guzpeña;2006;133
        24135 Prado de la Guzpeña;2005;136
        24136 Prado de la Guzpeña;2004;138
        24137 Prado de la Guzpeña;2003;148
        24119 Priaranza del Bierzo;2022;742
        24120 Priaranza del Bierzo;2021;754
        24121 Priaranza del Bierzo;2020;773
        24122 Priaranza del Bierzo;2019;788
        24123 Priaranza del Bierzo;2018;793
        24124 Priaranza del Bierzo;2017;785
        24125 Priaranza del Bierzo;2016;785
        24126 Priaranza del Bierzo;2015;802
        24127 Priaranza del Bierzo;2014;832
        24128 Priaranza del Bierzo;2013;828
        24129 Priaranza del Bierzo;2012;828
        24130 Priaranza del Bierzo;2011;841
        24131 Priaranza del Bierzo;2010;858
        24132 Priaranza del Bierzo;2009;866
        24133 Priaranza del Bierzo;2008;898
        24134 Priaranza del Bierzo;2007;914
        24135 Priaranza del Bierzo;2006;918
        24136 Priaranza del Bierzo;2005;903
        24137 Priaranza del Bierzo;2004;865
        24138 Priaranza del Bierzo;2003;889
        24120 Prioro;2022;335
        24121 Prioro;2021;337
        24122 Prioro;2020;332
        24123 Prioro;2019;340
        24124 Prioro;2018;355
        24125 Prioro;2017;374
        24126 Prioro;2016;369
        24127 Prioro;2015;376
        24128 Prioro;2014;378
        24129 Prioro;2013;396
        24130 Prioro;2012;404
        24131 Prioro;2011;405
        24132 Prioro;2010;418
        24133 Prioro;2009;415
        24134 Prioro;2008;422
        24135 Prioro;2007;420
        24136 Prioro;2006;414
        24137 Prioro;2005;433
        24138 Prioro;2004;437
        24139 Prioro;2003;441
        24121 Puebla de Lillo;2022;666
        24122 Puebla de Lillo;2021;672
        24123 Puebla de Lillo;2020;652
        24124 Puebla de Lillo;2019;681
        24125 Puebla de Lillo;2018;671
        24126 Puebla de Lillo;2017;693
        24127 Puebla de Lillo;2016;699
        24128 Puebla de Lillo;2015;715
        24129 Puebla de Lillo;2014;694
        24130 Puebla de Lillo;2013;688
        24131 Puebla de Lillo;2012;704
        24132 Puebla de Lillo;2011;710
        24133 Puebla de Lillo;2010;682
        24134 Puebla de Lillo;2009;691
        24135 Puebla de Lillo;2008;709
        24136 Puebla de Lillo;2007;724
        24137 Puebla de Lillo;2006;631
        24138 Puebla de Lillo;2005;661
        24139 Puebla de Lillo;2004;696
        24140 Puebla de Lillo;2003;727
        24122 Puente de Domingo Flórez;2022;1421
        24123 Puente de Domingo Flórez;2021;1438
        24124 Puente de Domingo Flórez;2020;1458
        24125 Puente de Domingo Flórez;2019;1500
        24126 Puente de Domingo Flórez;2018;1511
        24127 Puente de Domingo Flórez;2017;1533
        24128 Puente de Domingo Flórez;2016;1542
        24129 Puente de Domingo Flórez;2015;1574
        24130 Puente de Domingo Flórez;2014;1537
        24131 Puente de Domingo Flórez;2013;1565
        24132 Puente de Domingo Flórez;2012;1633
        24133 Puente de Domingo Flórez;2011;1655
        24134 Puente de Domingo Flórez;2010;1697
        24135 Puente de Domingo Flórez;2009;1745
        24136 Puente de Domingo Flórez;2008;1790
        24137 Puente de Domingo Flórez;2007;1819
        24138 Puente de Domingo Flórez;2006;1850
        24139 Puente de Domingo Flórez;2005;1869
        24140 Puente de Domingo Flórez;2004;1852
        24141 Puente de Domingo Flórez;2003;1873
        24123 Quintana del Castillo;2022;709
        24124 Quintana del Castillo;2021;718
        24125 Quintana del Castillo;2020;721
        24126 Quintana del Castillo;2019;735
        24127 Quintana del Castillo;2018;748
        24128 Quintana del Castillo;2017;773
        24129 Quintana del Castillo;2016;786
        24130 Quintana del Castillo;2015;810
        24131 Quintana del Castillo;2014;768
        24132 Quintana del Castillo;2013;796
        24133 Quintana del Castillo;2012;869
        24134 Quintana del Castillo;2011;881
        24135 Quintana del Castillo;2010;909
        24136 Quintana del Castillo;2009;925
        24137 Quintana del Castillo;2008;954
        24138 Quintana del Castillo;2007;953
        24139 Quintana del Castillo;2006;958
        24140 Quintana del Castillo;2005;1006
        24141 Quintana del Castillo;2004;1043
        24142 Quintana del Castillo;2003;1074
        24124 Quintana del Marco;2022;353
        24125 Quintana del Marco;2021;356
        24126 Quintana del Marco;2020;353
        24127 Quintana del Marco;2019;362
        24128 Quintana del Marco;2018;381
        24129 Quintana del Marco;2017;388
        24130 Quintana del Marco;2016;390
        24131 Quintana del Marco;2015;407
        24132 Quintana del Marco;2014;428
        24133 Quintana del Marco;2013;439
        24134 Quintana del Marco;2012;450
        24135 Quintana del Marco;2011;444
        24136 Quintana del Marco;2010;444
        24137 Quintana del Marco;2009;450
        24138 Quintana del Marco;2008;466
        24139 Quintana del Marco;2007;497
        24140 Quintana del Marco;2006;503
        24141 Quintana del Marco;2005;505
        24142 Quintana del Marco;2004;516
        24143 Quintana del Marco;2003;531
        24125 Quintana y Congosto;2022;398
        24126 Quintana y Congosto;2021;411
        24127 Quintana y Congosto;2020;375
        24128 Quintana y Congosto;2019;351
        24129 Quintana y Congosto;2018;354
        24130 Quintana y Congosto;2017;343
        24131 Quintana y Congosto;2016;358
        24132 Quintana y Congosto;2015;372
        24133 Quintana y Congosto;2014;396
        24134 Quintana y Congosto;2013;410
        24135 Quintana y Congosto;2012;484
        24136 Quintana y Congosto;2011;509
        24137 Quintana y Congosto;2010;540
        24138 Quintana y Congosto;2009;567
        24139 Quintana y Congosto;2008;583
        24140 Quintana y Congosto;2007;608
        24141 Quintana y Congosto;2006;657
        24142 Quintana y Congosto;2005;678
        24143 Quintana y Congosto;2004;702
        24144 Quintana y Congosto;2003;736
        24127 Regueras de Arriba;2022;264
        24128 Regueras de Arriba;2021;271
        24129 Regueras de Arriba;2020;277
        24130 Regueras de Arriba;2019;280
        24131 Regueras de Arriba;2018;293
        24132 Regueras de Arriba;2017;295
        24133 Regueras de Arriba;2016;310
        24134 Regueras de Arriba;2015;326
        24135 Regueras de Arriba;2014;331
        24136 Regueras de Arriba;2013;330
        24137 Regueras de Arriba;2012;332
        24138 Regueras de Arriba;2011;345
        24139 Regueras de Arriba;2010;339
        24140 Regueras de Arriba;2009;345
        24141 Regueras de Arriba;2008;355
        24142 Regueras de Arriba;2007;355
        24143 Regueras de Arriba;2006;360
        24144 Regueras de Arriba;2005;369
        24145 Regueras de Arriba;2004;368
        24146 Regueras de Arriba;2003;379
        24129 Reyero;2022;125
        24130 Reyero;2021;131
        24131 Reyero;2020;123
        24132 Reyero;2019;116
        24133 Reyero;2018;123
        24134 Reyero;2017;125
